"","Method","Mean","Variance","N","Weight","SNR"
"412","FER0.01",-0.036053874074948,0.00360869793246878,1024,"id","-50"
"413","FDR0.05",-0.0228775287984601,0.00353848175098119,1024,"id","-50"
"414","FER0.05",-0.0228775287984601,0.00353848175098119,1024,"id","-50"
"415","log_Periodogram",76.0798082362331,3.18240936823799,1024,"id","-50"
"416","BIC",-0.0307976945054793,0.00353779551023968,1024,"id","-50"
"417","KSF",-0.0568573731367947,0.00380323726740406,1024,"id","-50"
"418","MRI",-0.0522132468834103,0.00377985117394442,1024,"id","-50"
"419","Rectangle window",0.381084772088519,0.00315265778805473,1024,"id","-50"
"420","Hann",0.388357714337131,0.00459105603582724,1024,"id","-50"
"421","FDR0.01",-0.063610067678127,0.00743985977521922,512,"id","-50"
"422","FER0.01",-0.063610067678127,0.00743985977521922,512,"id","-50"
"423","FDR0.05",-0.0411924233849814,0.0075228575685759,512,"id","-50"
"424","FER0.05",-0.0411924233849814,0.0075228575685759,512,"id","-50"
"425","log_Periodogram",52.879974366835,3.19701743987277,512,"id","-50"
"426","BIC",-0.055176840203754,0.00744178948226433,512,"id","-50"
"427","KSF",-0.0913021208823118,0.00873594524917913,512,"id","-50"
"428","MRI",-0.0846637724186595,0.00766851470912246,512,"id","-50"
"429","Rectangle window",0.375040966906166,0.00630121806126919,512,"id","-50"
"430","Hann",0.386577098943839,0.00912294385801798,512,"id","-50"
"431","FDR0.01",-0.108659862133544,0.0180448466147303,256,"id","-50"
"432","FER0.01",-0.108659862133544,0.0180448466147303,256,"id","-50"
"433","FDR0.05",-0.0672216776460712,0.0169799060775849,256,"id","-50"
"434","FER0.05",-0.0672216776460712,0.0169799060775849,256,"id","-50"
"435","log_Periodogram",36.5537973582169,3.36466667432259,256,"id","-50"
"436","BIC",-0.0913472888023762,0.0169021503189406,256,"id","-50"
"437","KSF",-0.17361711789477,0.0190302620302623,256,"id","-50"
"438","MRI",-0.153513377514083,0.0192329151415306,256,"id","-50"
"439","Rectangle window",0.36137078829841,0.0132032205763327,256,"id","-50"
"440","Hann",0.382780584437223,0.0187416247468118,256,"id","-50"
"441","FDR0.01",-0.183748496707912,0.03271740821767,128,"id","-50"
"442","FER0.01",-0.183748496707912,0.03271740821767,128,"id","-50"
"443","FDR0.05",-0.115954428892693,0.034978126871937,128,"id","-50"
"444","FER0.05",-0.115954428892693,0.034978126871937,128,"id","-50"
"445","log_Periodogram",25.3581907946791,3.33975014245515,128,"id","-50"
"446","BIC",-0.158753947836086,0.0331586662961409,128,"id","-50"
"447","KSF",-0.239025291572292,0.0310175464603893,128,"id","-50"
"448","MRI",-0.228961281750039,0.030227747728068,128,"id","-50"
"449","Rectangle window",0.340890559754311,0.0259126501353713,128,"id","-50"
"450","Hann",0.384748590268109,0.0371500729127204,128,"id","-50"
"451","FDR0.01",0.204555980587943,0.43750579431123,2048,"Martin","-50"
"452","FER0.01",0.204555980587943,0.43750579431123,2048,"Martin","-50"
"453","FDR0.05",1.16885142314616,1.31806244665993,2048,"Martin","-50"
"454","FER0.05",1.16885142314616,1.31806244665993,2048,"Martin","-50"
"455","log_Periodogram",2498.1252972751,2468.23076776038,2048,"Martin","-50"
"456","BIC",0.523356637108376,0.737461345914777,2048,"Martin","-50"
"457","KSF",-0.0531563113560042,0.118331577920756,2048,"Martin","-50"
"458","MRI",-0.121510870044509,0.0218993819922348,2048,"Martin","-50"
"459","Rectangle window",26.89584275146,0.76955517233084,2048,"Martin","-50"
"460","Hann",22.9977615166712,0.628173987066822,2048,"Martin","-50"
"461","FDR0.01",0.107644329630492,0.368381325997391,1024,"Martin","-50"
"462","FER0.01",0.107644329630492,0.368381325997391,1024,"Martin","-50"
"463","FDR0.05",0.966220574758527,1.14474571888934,1024,"Martin","-50"
"464","FER0.05",0.966220574758527,1.14474571888934,1024,"Martin","-50"
"465","log_Periodogram",1248.05598709476,1188.09458456529,1024,"Martin","-50"
"466","BIC",0.371222601997284,0.599184720874168,1024,"Martin","-50"
"467","KSF",-0.171250507594116,0.0708982498387395,1024,"Martin","-50"
"468","MRI",-0.179672138308632,0.031680520909662,1024,"Martin","-50"
"469","Rectangle window",18.4439837413061,0.795730896976774,1024,"Martin","-50"
"470","Hann",15.6874090392858,0.62126391492754,1024,"Martin","-50"
"471","FDR0.01",0.0194040718027151,0.356445238162935,512,"Martin","-50"
"472","FER0.01",0.0194040718027151,0.356445238162935,512,"Martin","-50"
"473","FDR0.05",0.771682157377393,1.06777251780964,512,"Martin","-50"
"474","FER0.05",0.771682157377393,1.06777251780964,512,"Martin","-50"
"475","log_Periodogram",619.359527760604,609.540870565851,512,"Martin","-50"
"476","BIC",0.230358191725385,0.526001494571563,512,"Martin","-50"
"477","KSF",-0.2440048475731,0.0803698720136776,512,"Martin","-50"
"478","MRI",-0.254469890015164,0.035818669327632,512,"Martin","-50"
"479","Rectangle window",12.5185639649363,0.793664201246592,512,"Martin","-50"
"480","Hann",10.5414947426598,0.620890318991909,512,"Martin","-50"
"481","FDR0.01",-0.102902790150453,0.328325773420526,256,"Martin","-50"
"482","FER0.01",-0.102902790150453,0.328325773420526,256,"Martin","-50"
"483","FDR0.05",0.557669885781561,0.968039701635361,256,"Martin","-50"
"484","FER0.05",0.557669885781561,0.968039701635361,256,"Martin","-50"
"485","log_Periodogram",308.770062134756,323.585747310723,256,"Martin","-50"
"486","BIC",0.0819089379067782,0.466658025719793,256,"Martin","-50"
"487","KSF",-0.398962826642432,0.102707562141358,256,"Martin","-50"
"488","MRI",-0.378362735905156,0.0705001868329477,256,"Martin","-50"
"489","Rectangle window",8.32363335029166,0.788076881474462,256,"Martin","-50"
"490","Hann",6.94559322651545,0.614265765503287,256,"Martin","-50"
"491","FDR0.01",-0.259178651462726,0.337806430268458,128,"Martin","-50"
"492","FER0.01",-0.259178651462726,0.337806430268458,128,"Martin","-50"
"493","FDR0.05",0.37301889775187,0.941892122912751,128,"Martin","-50"
"494","FER0.05",0.37301889775187,0.941892122912751,128,"Martin","-50"
"495","log_Periodogram",158.238227351188,174.408555189723,128,"Martin","-50"
"496","BIC",-0.0790946956305214,0.461572004806684,128,"Martin","-50"
"497","KSF",-0.517768197419683,0.0994570881779462,128,"Martin","-50"
"498","MRI",-0.501204781988007,0.0878460620079484,128,"Martin","-50"
"499","Rectangle window",5.45866359208353,0.779548300771548,128,"Martin","-50"
"500","Hann",4.49156468702347,0.603907563925484,128,"Martin","-50"
"501","FDR0.01",-0.0130489728704699,0.00175912492605698,2048,"id","1"
"502","FER0.01",-0.0130489728704699,0.00175912492605698,2048,"id","1"
"503","FDR0.05",-0.00387673856522843,0.0017552695790632,2048,"id","1"
"504","FER0.05",-0.00387673856522843,0.0017552695790632,2048,"id","1"
"505","log_Periodogram",109.805366858957,3.15812335501273,2048,"id","1"
"506","BIC",-0.00951690533601181,0.00174492532444826,2048,"id","1"
"507","KSF",-0.0198167309393503,0.00176106893222166,2048,"id","1"
"508","MRI",-0.0232531499289599,0.00176338879644964,2048,"id","1"
"509","Rectangle window",0.413781529082022,0.00151146431151375,2048,"id","1"
"510","Hann",0.453921384416083,0.00228061457241689,2048,"id","1"
"511","FDR0.01",-0.0217484870761516,0.00358951367489429,1024,"id","1"
"512","FER0.01",-0.0217484870761516,0.00358951367489429,1024,"id","1"
"513","FDR0.05",-0.00328145609584927,0.0035791051773138,1024,"id","1"
"514","FER0.05",-0.00328145609584927,0.0035791051773138,1024,"id","1"
"515","log_Periodogram",77.5235355919978,3.10935134105963,1024,"id","1"
"516","BIC",-0.0155409640976015,0.00351053913711108,1024,"id","1"
"517","KSF",-0.0399162851658144,0.00387361111712543,1024,"id","1"
"518","MRI",-0.0401472747451664,0.00373374781898287,1024,"id","1"
"519","Rectangle window",0.431263013904528,0.00306575745308326,1024,"id","1"
"520","Hann",0.497229455014189,0.00441074899098543,1024,"id","1"
"521","FDR0.01",-0.0376440533721864,0.00746661628553502,512,"id","1"
"522","FER0.01",-0.0376440533721864,0.00746661628553502,512,"id","1"
"523","FDR0.05",0.000103453700776018,0.00771729322423299,512,"id","1"
"524","FER0.05",0.000103453700776018,0.00771729322423299,512,"id","1"
"525","log_Periodogram",54.5801021721715,3.12362848411035,512,"id","1"
"526","BIC",-0.0266481582736985,0.00740081760806242,512,"id","1"
"527","KSF",-0.0622449276432994,0.0079641747171571,512,"id","1"
"528","MRI",-0.06425719517765,0.00754933313546356,512,"id","1"
"529","Rectangle window",0.458315491233404,0.00611678265523874,512,"id","1"
"530","Hann",0.559441038652464,0.00853403988877145,512,"id","1"
"531","FDR0.01",-0.0563009840479809,0.0178354180155476,256,"id","1"
"532","FER0.01",-0.0563009840479809,0.0178354180155476,256,"id","1"
"533","FDR0.05",0.0188317134425593,0.0176082962229743,256,"id","1"
"534","FER0.05",0.0188317134425593,0.0176082962229743,256,"id","1"
"535","log_Periodogram",38.4984445748697,3.19804428597005,256,"id","1"
"536","BIC",-0.0357580182480562,0.016654769056227,256,"id","1"
"537","KSF",-0.107939529158137,0.020264678237401,256,"id","1"
"538","MRI",-0.111296028858864,0.0191994825026109,256,"id","1"
"539","Rectangle window",0.496108484697982,0.0123994654861342,256,"id","1"
"540","Hann",0.648744246946432,0.0165976079764865,256,"id","1"
"541","FDR0.01",-0.0759360857839592,0.0353730517378802,128,"id","1"
"542","FER0.01",-0.0759360857839592,0.0353730517378802,128,"id","1"
"543","FDR0.05",0.0686555537774869,0.0372172674339654,128,"id","1"
"544","FER0.05",0.0686555537774869,0.0372172674339654,128,"id","1"
"545","log_Periodogram",27.5245009071622,3.11388804271604,128,"id","1"
"546","BIC",-0.0437144679602352,0.0340674515986737,128,"id","1"
"547","KSF",-0.144234017839069,0.0358719528043455,128,"id","1"
"548","MRI",-0.167215513916783,0.0323691830438399,128,"id","1"
"549","Rectangle window",0.565428306498117,0.0239155332398884,128,"id","1"
"550","Hann",0.782259611929848,0.0313499234729428,128,"id","1"
"551","FDR0.01",-0.312809157047744,0.685920405032073,2048,"Martin","1"
"552","FER0.01",-0.312809157047744,0.685920405032073,2048,"Martin","1"
"553","FDR0.05",1.04617112455828,1.76531660137507,2048,"Martin","1"
"554","FER0.05",1.04617112455828,1.76531660137507,2048,"Martin","1"
"555","log_Periodogram",2525.85187016957,2438.63053789179,2048,"Martin","1"
"556","BIC",0.118540906583737,1.02832332477086,2048,"Martin","1"
"557","KSF",-0.680286783397597,0.229681211013818,2048,"Martin","1"
"558","MRI",-0.811486048331538,0.037225999511596,2048,"Martin","1"
"559","Rectangle window",27.1977905389981,0.760440047056703,2048,"Martin","1"
"560","Hann",23.3858434008307,0.609337193567758,2048,"Martin","1"
